Population,Primary Schools,Doctor Surgeries,Hospitals,Banks and Building Societies,Supermarkets,Petrol Stations,DIY Shops,Swimming Pools,Post Offices,Cheap Legal Advice,Farmers Markets
-0.16963170605925995,-0.1685185185185185,-0.34444444444444444,0.3,-0.12163742690058478,-0.13333333333333333,-0.006349206349206327,-0.07407407407407407,0.25555555555555554,-0.20277777777777778,0.17777777777777776,-0.2
-0.22927970017717733,-0.1685185185185185,-0.34444444444444444,-0.2,-0.1742690058479532,-0.13333333333333333,-0.292063492063492,-0.07407407407407407,-0.24444444444444444,-0.20277777777777778,-0.32222222222222224,-0.2
0.23903517505833574,0.16481481481481483,0.15555555555555556,0.3,0.0888888888888889,0.15238095238095237,0.4222222222222222,0.25925925925925924,0.25555555555555554,-0.07777777777777778,0.17777777777777776,-0.2
0.39123406297708946,0.3314814814814815,0.40555555555555556,0.3,0.03625730994152048,0.43809523809523804,0.13650793650793652,-0.07407407407407407,0.7555555555555555,0.2972222222222222,0.17777777777777776,-0.2
-0.2097953014822644,-0.08518518518518518,-0.09444444444444444,-0.2,-0.1742690058479532,0.009523809523809521,-0.006349206349206327,-0.07407407407407407,0.25555555555555554,-0.20277777777777778,0.17777777777777776,0.8
-0.2139770945983896,-0.08518518518518518,-0.34444444444444444,-0.2,-0.22690058479532163,-0.2761904761904762,-0.14920634920634918,-0.07407407407407407,-0.24444444444444444,-0.07777777777777778,-0.32222222222222224,-0.2
-0.1764788178647836,-0.1685185185185185,-0.09444444444444444,-0.2,-0.06900584795321636,-0.13333333333333333,-0.14920634920634918,-0.07407407407407407,0.25555555555555554,-0.20277777777777778,-0.32222222222222224,-0.2
-0.07698890471740985,-0.08518518518518518,-0.34444444444444444,-0.2,-0.01637426900584794,0.2952380952380952,-0.14920634920634918,-0.07407407407407407,-0.24444444444444444,-0.07777777777777778,0.17777777777777776,0.8
0.5949011738635377,0.24814814814814815,0.6555555555555556,0.3,0.352046783625731,0.15238095238095237,-0.006349206349206327,-0.07407407407407407,0.25555555555555554,0.7972222222222223,0.17777777777777776,-0.2
-0.23506987526104295,-0.08518518518518518,-0.09444444444444444,-0.2,-0.1742690058479532,-0.2761904761904762,-0.14920634920634918,-0.07407407407407407,-0.24444444444444444,0.04722222222222222,-0.32222222222222224,-0.2
-0.014583684369080275,0.08148148148148149,-0.34444444444444444,0.3,-0.12163742690058478,0.009523809523809521,-0.006349206349206327,-0.07407407407407407,-0.24444444444444444,-0.07777777777777778,0.17777777777777776,-0.2
0.053014312046525625,-0.0018518518518518452,-0.09444444444444444,0.3,0.14152046783625732,0.009523809523809521,0.13650793650793652,-0.07407407407407407,0.25555555555555554,-0.20277777777777778,0.17777777777777776,0.8
-0.17197534835511033,-0.1685185185185185,-0.09444444444444444,-0.2,-0.12163742690058478,-0.13333333333333333,-0.14920634920634918,-0.07407407407407407,-0.24444444444444444,-0.07777777777777778,-0.32222222222222224,-0.2
-0.233277678211275,-0.1685185185185185,-0.09444444444444444,-0.2,-0.22690058479532163,-0.2761904761904762,-0.14920634920634918,-0.07407407407407407,-0.24444444444444444,-0.20277777777777778,-0.32222222222222224,-0.2
0.08398715336815607,0.16481481481481483,-0.09444444444444444,-0.2,-0.06900584795321636,-0.13333333333333333,0.27936507936507937,-0.07407407407407407,-0.24444444444444444,-0.20277777777777778,0.17777777777777776,-0.2
-0.09619758078928155,-0.08518518518518518,-0.09444444444444444,0.3,0.14152046783625732,-0.13333333333333333,-0.006349206349206327,-0.07407407407407407,-0.24444444444444444,-0.20277777777777778,0.17777777777777776,0.8
-0.1690802608131775,-0.1685185185185185,-0.34444444444444444,-0.2,-0.22690058479532163,-0.13333333333333333,-0.006349206349206327,-0.07407407407407407,-0.24444444444444444,-0.20277777777777778,-0.32222222222222224,-0.2
-0.04068542601698248,0.08148148148148149,-0.09444444444444444,-0.2,0.19415204678362574,0.2952380952380952,0.27936507936507937,-0.07407407407407407,0.25555555555555554,0.04722222222222222,0.17777777777777776,-0.2
